"site_col","ID","W","formula","presence","slopepos","cover_type","plot","mid_cm","max_reps","formulareps","include"
"Y1","08","H2O","C12H20O6",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C11H20O5N2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H6O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H10O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C10H14O8",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C14H14O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C15H18O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H22O6",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C12H8O7",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C13H12O6",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C10H16O8",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C14H16O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H20O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H10O7",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C13H14O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H18O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H22O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H26O4S1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H17O5N1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H12O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C9H16O9",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H16O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H20O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H24O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H32O2",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C8H2O9N2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H10O8",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C12H14O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H22O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H26O4",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C16H30O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H34O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H12O2S3",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C11H12O8",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C12H16O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H20O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H24O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C15H28O4",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H32O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H10O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C11H14O8",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C15H14O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H18O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H18O4",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H22O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H26O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H8O7",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H12O6",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C15H16O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H20O7",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C16H20O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C17H24O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H2O2N2S3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H10O7",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C14H14O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H18O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H22O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H8O8",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H12O7",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C14H16O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H20O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H24O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H32O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C6H6O3N2S4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H10O8",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C13H14O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H22O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H26O4",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C18H34O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H12O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H16O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H20O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H24O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H28O4",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C18H36O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H10O9",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H14O8",1,"footslope","Open","B",34,3,7,TRUE
