"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
401.0725985,"C16H18O12","CHO",1.12,0.75,0.2,0.375,16,18,12,0,0,0,"unsaturated/lignin"
401.082983,"C17H23O7S1P1","CHOSP",1.35,0.41,0.1304,-0.4118,17,23,7,0,1,1,"unsaturated/lignin"
401.087735588235,"C20H18O9","CHO",0.9,0.45,0.4839,0,20,18,9,0,0,0,"unsaturated/lignin"
401.088052,"C20H18O9","CHO",0.9,0.45,0.4839,0,20,18,9,0,0,0,"unsaturated/lignin"
401.093709,"C13H22O14","CHO",1.69,1.08,-0.6667,0.4615,13,22,14,0,0,0,"aliphatic"
401.108957090909,"C17H22O11","CHO",1.29,0.65,0.1304,0,17,22,11,0,0,0,"unsaturated/lignin"
401.124209423077,"C21H22O8","CHO",1.05,0.38,0.4118,-0.2857,21,22,8,0,0,0,"unsaturated/lignin"
401.124446,"C21H22O8","CHO",1.05,0.38,0.4118,-0.2857,21,22,8,0,0,0,"unsaturated/lignin"
401.130065,"C14H26O13","CHO",1.86,0.93,-0.6,0,14,26,13,0,0,0,"aliphatic"
401.145336125,"C18H26O10","CHO",1.44,0.56,0.0769,-0.3333,18,26,10,0,0,0,"unsaturated/lignin"
401.160584866667,"C22H26O7","CHO",1.18,0.32,0.3514,-0.5455,22,26,7,0,0,0,"unsaturated/lignin"
401.160825,"C22H26O7","CHO",1.18,0.32,0.3514,-0.5455,22,26,7,0,0,0,"unsaturated/lignin"
401.177696875,"C14H30O11N2","CHON",2.14,0.79,-1,-0.1429,14,30,11,2,0,0,"aliphatic"
401.181654333334,"C19H30O9","CHO",1.58,0.47,0.0345,-0.6316,19,30,9,0,0,0,"aliphatic"
401.196934695652,"C23H30O6","CHO",1.3,0.26,0.3,-0.7826,23,30,6,0,0,0,"unsaturated/lignin"
401.2180716,"C20H34O8","CHO",1.7,0.4,0,-0.9,20,34,8,0,0,0,"aliphatic"
401.254359,"C21H38O7","CHO",1.81,0.33,-0.0286,-1.1429,21,38,7,0,0,0,"aliphatic"
401.2697448,"C25H38O4","CHO",1.52,0.16,0.2174,-1.2,25,38,4,0,0,0,"aliphatic"
401.290782,"C22H42O6","CHO",1.91,0.27,-0.0526,-1.3636,22,42,6,0,0,0,"aliphatic"
401.85199,"C12H5O3N1S6","CHONS",0.42,0.25,0.7143,1.3333,12,5,3,1,6,0,"condensed aromatic"
401.982642,"C19H5O6N3S1","CHONS",0.26,0.32,1,0.9474,19,5,6,3,1,0,"condensed aromatic"
401.992214,"C19H6O6N3P1","CHONP",0.32,0.32,1,0.7895,19,6,6,3,0,1,"condensed aromatic"
402.079084166667,"C14H17O11N3","CHON",1.21,0.79,-0.0909,1,14,17,11,3,0,0,"unsaturated/lignin"
402.111161,"C20H22O6N1P1","CHONP",1.1,0.3,0.4,-0.35,20,22,6,1,0,1,"unsaturated/lignin"
402.124193,"C17H27O6N1P2","CHONP",1.59,0.35,0,-0.7059,17,27,6,1,0,2,"aliphatic"
402.820869,"C8H4O7S6","CHOS",0.5,0.88,1.6667,2.75,8,4,7,0,6,0,"condensed aromatic"
402.936018,"C11H4O13N2S1","CHONS",0.36,1.18,1,2.7273,11,4,13,2,1,0,"condensed aromatic"
402.979147666667,"C13H8O15","CHO",0.62,1.15,0.4545,1.6923,13,8,15,0,0,0,"unsaturated/lignin"
402.988666,"C17H12O4N2S3","CHONS",0.71,0.24,0.6,0.4706,17,12,4,2,3,0,"aromatic"
402.991934,"C14H16O4N2S4","CHONS",1.14,0.29,0,0.4286,14,16,4,2,4,0,"unsaturated/lignin"
403.0281138,"C22H12O6S1","CHOS",0.55,0.27,0.7222,0.0909,22,12,6,0,1,0,"condensed aromatic"
403.028435,"C15H20O3N2S4","CHONS",1.33,0.2,-0.0667,0,15,20,3,2,4,0,"unsaturated/lignin"
403.03059875,"C18H12O11","CHO",0.67,0.61,0.6,0.5556,18,12,11,0,0,0,"aromatic"
403.0647421,"C12H21O13P1","CHOP",1.75,1.08,-1,0.4167,12,21,13,0,0,1,"aliphatic"
403.067067,"C19H16O10","CHO",0.84,0.53,0.5,0.2105,19,16,10,0,0,0,"unsaturated/lignin"
403.071353923077,"C17H24O5S3","CHOS",1.41,0.29,0.0435,-0.4706,17,24,5,0,3,0,"unsaturated/lignin"
403.071662,"C16H22O8P2","CHOP",1.38,0.5,0.1,-0.375,16,22,8,0,0,2,"unsaturated/lignin"
403.080017,"C16H21O10P1","CHOP",1.31,0.62,0.1,-0.0625,16,21,10,0,0,1,"unsaturated/lignin"
403.088173,"C16H20O12","CHO",1.25,0.75,0.1,0.25,16,20,12,0,0,0,"unsaturated/lignin"
403.101012,"C24H20O4S1","CHOS",0.83,0.17,0.5714,-0.4167,24,20,4,0,1,0,"aromatic"
403.101266,"C13H25O12P1","CHOP",1.92,0.92,-0.8333,-0.0769,13,25,12,0,0,1,"aliphatic"
403.103423419355,"C20H20O9","CHO",1,0.45,0.4194,-0.1,20,20,9,0,0,0,"unsaturated/lignin"
403.109323,"C13H24O14","CHO",1.85,1.08,-0.8333,0.3077,13,24,14,0,0,0,"aliphatic"
403.120607,"C12H24O13N2","CHON",2,1.08,-1.8571,0.6667,12,24,13,2,0,0,"aliphatic"
