Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Y1_08_H2O,Y1_09_H2O,Y1_10_H2O,Y1_13_H2O,Y1_14_H2O,Y1_15_H2O,Y1_18_H2O,Y1_19_H2O,Y1_20_H2O,Y1_23_H2O,Y1_24_H2O,Y1_25_H2O,Y1_28_H2O,Y1_29_H2O,Y1_30_H2O,Y1_33_H2O,Y1_34_H2O,Y1_35_H2O,Y1_37_H2O,Y1_39_H2O,Y1_40_H2O,Y1_41_H2O,Y1_43_H2O,Y1_44_H2O,Y1_45_H2O,Y1_47_H2O,Y1_48_H2O,Y1_49_H2O,Y1_52_H2O,Y1_53_H2O,Y1_55_H2O,Y1_58_H2O,Y1_61_H2O,Y1_65_H2O,Y1_70_H2O,Y1_71_H2O,Y1_72_H2O,Y1_73_H2O,Y1_77_H2O,Y1_78_H2O,Y1_03_H2O,Y1_04_H2O
104.737647,0,0,0,0,0,0,0,0,,None,105.74492346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066645.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.752612,0,0,0,0,0,0,0,0,,None,105.75988846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025604.9,0,0,0,0,0,0,0,0,0,0,0,0
104.943825,0,0,0,0,0,0,0,0,,None,105.95110146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060904.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.045102,0,0,0,0,0,0,0,0,,None,106.05237846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066452.9,0,0,0,0,0
105.05783,0,0,0,0,0,0,0,0,,None,106.06510646688,0,0,0,0,0,1101477.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.060297,0,0,0,0,0,0,0,0,,None,106.06757346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141152.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.109352,0,0,0,0,0,0,0,0,,None,106.11662846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202880,0,0
105.111896,0,0,0,0,0,0,0,0,,None,106.11917246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084434.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.154037,0,0,0,0,0,0,0,0,,None,106.16131346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120441.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.215709,0,0,0,0,0,0,0,0,,None,106.22298546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031847.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.545337,0,0,0,0,0,0,0,0,,None,106.55261346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032423.8,0,0,0,0,0,0
105.547052,0,0,0,0,0,0,0,0,,None,106.55432846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071541.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.638099,0,0,0,0,0,0,0,0,,None,106.64537546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031064.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.673733,0,0,0,0,0,0,0,0,,None,106.68100946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029777.6,0,0,0,0
105.734575,0,0,0,0,0,0,0,0,,None,106.74185146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052265.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.774599,0,0,0,0,0,0,0,0,,None,106.78187546688,0,0,0,0,0,0,0,0,0,1106699.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.856807,0,0,0,0,0,0,0,0,,None,106.86408346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.860071,0,0,0,0,0,0,0,0,,None,106.86734746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070821.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.874577,0,0,0,0,0,0,0,0,,None,106.88185346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030978.6,0,0,0,0,0,0
105.958021,0,0,0,0,0,0,0,0,,None,106.96529746688,0,0,0,0,0,0,0,0,0,0,0,0,0,1050636.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
