"slopepos.x","covertype","rep","morph.x","mineral","mean"
"low_backslope","canopy","A","Bg1","hornblende",3.13
"low_backslope","canopy","A","Bg1","mica",7.9
"low_backslope","canopy","A","Bg1","microcline",3.43
"low_backslope","canopy","A","Bg1","quartz",44.7
"low_backslope","canopy","A","Bg2","albite",17.1
"low_backslope","canopy","A","Bg2","ankerite",1
"low_backslope","canopy","A","Bg2","anorthite",16
"low_backslope","canopy","A","Bg2","chlorite",4.99
"low_backslope","canopy","A","Bg2","hornblende",5.29
"low_backslope","canopy","A","Bg2","mica",8.87
"low_backslope","canopy","A","Bg2","microcline",5.53
"low_backslope","canopy","A","Bg2","quartz",41.2
"low_backslope","canopy","B","Bg","albite",18.8
"low_backslope","canopy","B","Bg","ankerite",0.553
"low_backslope","canopy","B","Bg","anorthite",17.5
"low_backslope","canopy","B","Bg","chlorite",4.92
"low_backslope","canopy","B","Bg","hornblende",4.15
"low_backslope","canopy","B","Bg","mica",7.49
"low_backslope","canopy","B","Bg","microcline",5.37
"low_backslope","canopy","B","Bg","quartz",41.2
"low_backslope","canopy","C","Bg1","albite",15.5
"low_backslope","canopy","C","Bg1","ankerite",1.03
"low_backslope","canopy","C","Bg1","anorthite",18.1
"low_backslope","canopy","C","Bg1","chlorite",4.42
"low_backslope","canopy","C","Bg1","hornblende",4.54
"low_backslope","canopy","C","Bg1","mica",11.7
"low_backslope","canopy","C","Bg1","microcline",1.45
"low_backslope","canopy","C","Bg1","quartz",43.2
"low_backslope","canopy","C","Bg2","albite",16.3
"low_backslope","canopy","C","Bg2","ankerite",0.954
"low_backslope","canopy","C","Bg2","anorthite",13.4
"low_backslope","canopy","C","Bg2","chlorite",6.96
"low_backslope","canopy","C","Bg2","hornblende",5.19
"low_backslope","canopy","C","Bg2","mica",11.4
"low_backslope","canopy","C","Bg2","microcline",1.85
"low_backslope","canopy","C","Bg2","quartz",43.9
"low_backslope","open","A","Bg1","albite",15.2
"low_backslope","open","A","Bg1","ankerite",0.349
"low_backslope","open","A","Bg1","anorthite",14.5
"low_backslope","open","A","Bg1","chlorite",5.82
"low_backslope","open","A","Bg1","hornblende",4.96
"low_backslope","open","A","Bg1","mica",9.97
"low_backslope","open","A","Bg1","microcline",7.51
"low_backslope","open","A","Bg1","quartz",41.7
"low_backslope","open","A","Bg2","albite",14.4
"low_backslope","open","A","Bg2","ankerite",0.481
"low_backslope","open","A","Bg2","anorthite",16.6
"low_backslope","open","A","Bg2","chlorite",6.57
"low_backslope","open","A","Bg2","hornblende",5.4
"low_backslope","open","A","Bg2","mica",8.27
"low_backslope","open","A","Bg2","microcline",6.4
"low_backslope","open","A","Bg2","quartz",41.8
"low_backslope","open","A","Bg3","albite",15
"low_backslope","open","A","Bg3","ankerite",0.909
"low_backslope","open","A","Bg3","anorthite",19
"low_backslope","open","A","Bg3","chlorite",6.47
"low_backslope","open","A","Bg3","hornblende",3.87
"low_backslope","open","A","Bg3","mica",10.4
"low_backslope","open","A","Bg3","microcline",3.55
"low_backslope","open","A","Bg3","quartz",40.8
"low_backslope","open","B","Bg1","albite",15.4
"low_backslope","open","B","Bg1","ankerite",0.166
"low_backslope","open","B","Bg1","anorthite",15.3
"low_backslope","open","B","Bg1","chlorite",5.7
"low_backslope","open","B","Bg1","hornblende",3.97
"low_backslope","open","B","Bg1","mica",10.2
"low_backslope","open","B","Bg1","microcline",7.47
"low_backslope","open","B","Bg1","quartz",41.9
"low_backslope","open","B","Bg2","albite",14.9
"low_backslope","open","B","Bg2","ankerite",0.428
"low_backslope","open","B","Bg2","anorthite",17.9
"low_backslope","open","B","Bg2","chlorite",6.7
"low_backslope","open","B","Bg2","hornblende",5.17
"low_backslope","open","B","Bg2","mica",10.6
"low_backslope","open","B","Bg2","microcline",5.22
"low_backslope","open","B","Bg2","quartz",39.1
"low_backslope","open","B","Bg3","albite",14.4
"low_backslope","open","B","Bg3","ankerite",0.585
"low_backslope","open","B","Bg3","anorthite",18.9
"low_backslope","open","B","Bg3","chlorite",6.25
"low_backslope","open","B","Bg3","hornblende",5.14
"low_backslope","open","B","Bg3","mica",9.89
"low_backslope","open","B","Bg3","microcline",1.5
"low_backslope","open","B","Bg3","quartz",43.4
"low_backslope","open","C","Bg1","albite",13.1
"low_backslope","open","C","Bg1","ankerite",0.797
"low_backslope","open","C","Bg1","anorthite",14
"low_backslope","open","C","Bg1","chlorite",7.3
"low_backslope","open","C","Bg1","hornblende",4.36
"low_backslope","open","C","Bg1","mica",11.1
"low_backslope","open","C","Bg1","microcline",6.52
"low_backslope","open","C","Bg1","quartz",42.7
"low_backslope","open","C","Bg2","albite",15.5
"low_backslope","open","C","Bg2","ankerite",0.644
"low_backslope","open","C","Bg2","anorthite",16.8
"low_backslope","open","C","Bg2","chlorite",4.81
"low_backslope","open","C","Bg2","hornblende",5.01
"low_backslope","open","C","Bg2","mica",10.4
"low_backslope","open","C","Bg2","microcline",1.15
"low_backslope","open","C","Bg2","quartz",45.6
