Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Bog_01_CHCl3,Bog_02_CHCl3,Bog_03_CHCl3,Bog_04_CHCl3,Bog_05_CHCl3,Bog_06_CHCl3,Bog_07_CHCl3,Bog_08_CHCl3,Bog_09_CHCl3,Bog_10_CHCl3,Bog_11_CHCl3,Bog_12_CHCl3,Bog_13_CHCl3,Bog_14_CHCl3,Bog_15_CHCl3,Bog_16_CHCl3,Bog_18_CHCl3,Bog_19_CHCl3,Bog_21_CHCl3,FB_01_CHCl3,FB_02_CHCl3,FB_03_CHCl3,FB_04_CHCl3,LC_01_CHCl3,LC_02_CHCl3
106.56332,0,0,0,0,0,0,0,0,,None,107.57059646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042299.2,0,0,0,0
106.596099,0,0,0,0,0,0,0,0,,None,107.60337546688,0,0,0,0,0,0,0,0,0,0,0,1128380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.599143,0,0,0,0,0,0,0,0,,None,107.60641946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054406.8,0,0,0,0,0
106.657494,0,0,0,0,0,0,0,0,,None,107.66477046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077710.6,0,0,0,0,0,0,0,0
106.686566,0,0,0,0,0,0,0,0,,None,107.69384246688,0,0,0,0,0,0,0,0,0,0,0,0,1031302.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.739543,0,0,0,0,0,0,0,0,,None,107.74681946688,0,0,0,0,0,0,0,0,0,0,1145793.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.749914,0,0,0,0,0,0,0,0,,None,107.75719046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094678.1,0,0,0,0
106.753345,0,0,0,0,0,0,0,0,,None,107.76062146688,0,0,0,0,0,0,0,0,0,1042466.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.802559,0,0,0,0,0,0,0,0,,None,107.80983546688,0,0,0,0,0,0,0,0,0,0,1077596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.878552,0,0,0,0,0,0,0,0,,None,107.88582846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031667.8,0,0,0,0,0,0,0
106.879401,0,0,0,0,0,0,0,0,,None,107.88667746688,0,0,0,0,0,0,0,0,0,0,0,1031356.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.920198,0,0,0,0,0,0,0,0,,None,107.92747446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029982.4,0,0,0
106.953834,0,0,0,0,0,0,0,0,,None,107.96111046688,0,0,0,0,0,0,0,0,0,0,0,0,0,1032247.9,0,0,0,0,0,0,0,0,0,0,0,0,0
106.962833,0,0,0,0,0,0,0,0,,None,107.97010946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146082.1,0,0,0,0,0,0,0,0,0
107.062495,0,0,0,0,0,0,0,0,,None,108.06977146688,0,0,0,0,0,0,0,1065289.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.074783,0,0,0,0,0,0,0,0,,None,108.08205946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033407.8,0,0,0,0,0,0,0,0,0,0,0,0
107.075272,0,0,0,0,0,0,0,0,,None,108.08254846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113446.5,0,0,0,0,0,0,0,0
107.079215,0,0,0,0,0,0,0,0,,None,108.08649146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046289.7,0
107.116355,0,0,0,0,0,0,0,0,,None,108.12363146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081415.3,0,0,0,0,0,0,0,0,0,0
107.187015,0,0,0,0,0,0,0,0,,None,108.19429146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129730.1,0,0,0,0
107.244065,0,0,0,0,0,0,0,0,,None,108.25134146688,0,0,0,0,0,0,0,1138955.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.273475,0,0,0,0,0,0,0,0,,None,108.28075146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137471.8,0,0,0,0,0,0,0,0,0
107.294257,0,0,0,0,0,0,0,0,,None,108.30153346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100637.6,0,0,0,0
107.352631,0,0,0,0,0,0,0,0,,None,108.35990746688,0,0,0,1029318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.410061,0,0,0,0,0,0,0,0,,None,108.41733746688,0,0,0,0,0,0,0,0,0,0,1053030.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.568445,0,0,0,0,0,0,0,0,,None,108.57572146688,0,0,0,0,0,0,0,0,0,1048792.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.583172,0,0,0,0,0,0,0,0,,None,108.59044846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051982.4,0,0
107.625571,0,0,0,0,0,0,0,0,,None,108.63284746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140923.9,0,0,0,0
107.646089,0,0,0,0,0,0,0,0,,None,108.65336546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071500.9,0,0,0,0,0,0,0,0,0,0,0
107.648784,0,0,0,0,0,0,0,0,,None,108.65606046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073375.4,0,0,0,0,0
107.692381,0,0,0,0,0,0,0,0,,None,108.69965746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068174.8,0,0,0
107.725473,0,0,0,0,0,0,0,0,,None,108.73274946688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036987.1
107.734357,0,0,0,0,0,0,0,0,,None,108.74163346688,0,0,0,0,0,0,0,0,0,0,0,0,0,1105156.3,0,0,0,0,0,0,0,0,0,0,0,0,0
107.750919,0,0,0,0,0,0,0,0,,None,108.75819546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076801.5,0,0,0,0,0
